"Collection Name","identifier#1","identifierSource#1","Identifier ARK#1","identifier#2","identifierSource#2","title#1","titleType#1","titleSeries#1","subject#1","subjectAuthorityUsed#1","subject#2","subjectAuthorityUsed#2","subject#3","subjectAuthorityUsed#3","subject#4","subjectAuthorityUsed#4","subject#5","subjectAuthorityUsed#5","subject#6","subjectAuthorityUsed#6","subject#7","subjectAuthorityUsed#7","subject#8","subjectAuthorityUsed#8","description#1","descriptionType#1","description#2","descriptionType#2","genre#1","genreAuthorityUsed#1","coverageTemporal#1","coverageSpatial#1","contributor#1","contributorRole#1","contributor#10","contributorRole#10","contributor#11","contributorRole#11","contributor#2","contributorRole#2","contributor#3","contributorRole#3","contributor#4","contributorRole#4","contributor#5","contributorRole#5","contributor#6","contributorRole#6","contributor#7","contributorRole#7","contributor#8","contributorRole#8","contributor#9","contributorRole#9","publisher#1","publisherRole#1","rightsSummary#1","dateCreated#1","formatPhysical#1","formatDigital#1","formatMediaType#1","formatGenerations#1","formatStandard#1","formatEncoding#1","formatDataRate#1","formatBitDepth#1","formatSamplingRate#1","formatTracks#1","formatChannelConfiguration#1","language#1","formatPhysical#2","formatDigital#2","formatLocation#2","formatMediaType#2","formatGenerations#2","formatStandard#2","formatEncoding#2","formatTimeStart#2","formatDuration#2","formatDataRate#2","formatBitDepth#2","formatSamplingRate#2","formatTracks#2","formatChannelConfiguration#2","language#2","formatIdentifier#1","formatIdentifierSource#1","annotation#1","annotation#2","annotation#3","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/8k1z0d96968t","cwa_80-7P.mp3","CWA/Archives, University of Colorado at Boulder","China After Mao-Death of a Resolution","Program","Plenary session","Communism","http://id.worldcat.org/fast/870421","Mao, Zedong, 1893-1976","http://id.worldcat.org/fast/28307","China--History--20th century","http://id.loc.gov/authorities/subjects/sh85024101","China (Soviet Republic, 1931-1937)","local","Political science--Philosophy","http://id.loc.gov/authorities/subjects/sh88004669","Political ethics--China--History","local","China--Politics and government","http://id.loc.gov/authorities/subjects/sh85024153","","","Speaker, professor Ralph Buultjens(New School) talks about the influence of Mao Zedong and his political philosophy in shaping China during the 20th century. He argues that Mao was a historically unique figure in history for his depth of influence in decisions that shaped the current Chinese state. Buultgens argues that with the death of Mao, the Chinese state is undergoing further enormous changes, such as rapid modernization that will have a global impact.","Program","0:00Intro 4:07: Buultjens speech 47:30-End of speech 47:47-Questions intro","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","University Memorial Center Ballroom","Buultjens, Ralph","Speaker","","","","","","","","","","","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1980-04-08","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 159, Tape 80-7P","Sound","Audio/Original recording","MPEG Audio","audio/mp3","20:00:00-07:00","1:18:26","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","http://cudl.colorado.edu/luna/servlet/s/jy68o9","CWA/Archives, University of Colorado at Boulder","","","","473359","455","cwa_80-7P.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~473359~128590"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/dz0s9j8266pz","cwa_68-54.mp3","CWA/Archives, University of Colorado at Boulder","Civil Riots","Program","Series XVI: The Media and Vietnam","Riots","http://id.worldcat.org/fast/1098069","African Americans","http://id.worldcat.org/fast/799558","Blacks","http://id.worldcat.org/fast/833880","King, Martin Luther, Jr., 1929-1968","http://id.worldcat.org/fast/40023","","","","","","","","","Moderated by Ulrich K. Goldsmith; 00:00 Goldsmith explains that John Walker and Edwin Diamond were unable to attend the discussion; 00:42 Audio cuts out; 00:51 Doris Havice begins her discussion about being at a predominantly Black college; 02:45 Havice answers a question about the Black college which is â€œwhy havenâ€™t we had a riot here?â€ Havice states she has a number of answers. She talks about studentsâ€™ experiences with Martin Luther King Jr. and former riots they had been in; 07:10 Havice explains why riots occur and mentions that riots are not the only form of violence by a group of people. Havice continues to say that it is better to act than to brood and is worried about the brooding happening in Birmingham, Alabama; 08:25 Havice shares a story about a memorial for Martin Luther King Jr. in Birmingham; 09:53 Havice talks about generalizations of riots in cities versus college riots; 12:30 Havice ends her speech and Goldsmith introduces [Dr. Kahn?]; 13:04 Kahn begins his discussion about a series of personal statements and incidents that had occurred after the death of Martin Luther King Jr. Kahn expresses that his kids are Black and Jewish and his family lives in a predominantly white neighborhood where parents do not allow their kids to play with Kahnâ€™s kids; 16:32 Kahn and his wife wonder if an interracial marriage can survive at that time. He also talks about police response to riots; 24:57 Kahn talks about the media and white presentation of riots so that white people can maintain control. Kahn also suggests the meaning of a riot be renamed and described differently; 33:00 Kahn wonders how we begin to rebuild society and urge integration; 35:00 Kahn talks about self-organization and government programs; 37:50 Goldsmith asks the audience for questions; 38:27 Audience member asks for Haviceâ€™s opinion about Mayor Daleyâ€™s decision to â€œshoot â€˜em deadâ€; 39:48 Audience member asks Kahn who in government makes the calls to break relationships with Black groups and poverty programs; 44:35 Audience member follows up with Kahnâ€™s response and asks if the president has anything to do with the break in relationships with Black groups and programs; 45:38 Goldsmith pauses the discussion to allow for those who need to leave; 46:21 Audio cuts to audience memberâ€™s question. Audience member asks why there are less riots in Birmingham, Alabama. Havice responds by saying the younger population is tired and afraid of the violence; 48:52 Audience members asks Havice what she thinks about the difference in Black culture from different places; 49:27 Same audience member follows up and says she thinks there are a lot of differences from different states, such as Austin, Texas. Havice admits that she does not have an answer because the audience memberâ€™s response comes from a white perspective; 54:00 Audience member asks a question about people throwing people out of the Black community and how will it impact the Black movement. Kahn responds by reflecting on failed employment programs; 01:00:31 Audience member asks about Chicagoâ€™s rumor control; 01:05:55 Audience member asks if there is welfare colonialism in Washington D.C.; 01:06:51 Audience member asks where the money goes in relation to the Watts riots in 1965; 01:11:54 Audience member asks about orders implemented from the Mayor of Chicago; 01:17:13 Audience member states that her feeling from the speakers is that it is alright to riot, but the audience member asks if it really is alright to riot. Havice tells the audience member that she should be asking another question and clarifies that she has said rioting is a small form of violence in a very violent society. Kahn also responds; 01:21:54 Same audience member disagrees with Kahnâ€™s response and Kahn attempts to clarify; 01:26:50 Audience member asks a question about education and providing opportunities for Black people. The topic of shooting thieves during a riot also comes up; 01:29:50 Another audience member wonders how to avoid racial war and admits that there are no easy answers. Havice states the only answer is that change will only happen if white people change and things are based on oppression. Kahn provides facts about children suffering in Birmingham and an audience member asks Kahn for the solutions, not the facts; 01:33:16 Another audience member admits that white people donâ€™t know how to change and there is a tremendous amount of work to be done; 01:34:35 Goldsmith stops the discussion and thanks the panel for their talk.","Program","[Cataloger's note: Audio cuts in and out. Much of the audio is unintelligible at the beginning.]","","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Old Main Chapel","Havice, Doris","Panelist","","","","","[Kahn]","Panelist","[Walker, John]","Panelist","[Diamond, Edwin]","Panelist","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1968-04-17","","","","","","","","","","","","","1/4 inch audio tape","audio/mpeg","","Sound","Audio/Original recording","MPEG Audio","audio/mp3","","1:34:48","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","","","","473049","455","cwa_68-54.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~473049~128560"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/j5439044k611","cwa_60-2P.mp3","CWA/Archives, University of Colorado at Boulder","Cold War and the Drift to the Garrison State","Program","Plenary Session","Socialism","http://id.worldcat.org/fast/1123637","Two-party systems","http://id.worldcat.org/fast/1745336","Political parties--United States","http://id.loc.gov/authorities/subjects/sh85104375","","","","","","","","","","","Moderated by Eugene Wilson, Vice President of the University. The speaker, New York journalist Norman Thomas, argues the pros of the Socialist party in a culture and society torn by opposing political perspectives. Speaker highlights issues surrounding the bipartisan system, later comparing and contrasting the Socialist party against the Democratic and Republican parties. Noting the downfalls of a two party system, Speaker discusses the need for a 3rd party to create a balance between polarizing perspectives. Speaker concludes by discussing the benefits of a socialized culture and government as opposed to one which has been imbued by political and fiscal ideologies.","Program","00:00 Begins in the middle of clip 15:22 Norman Thomas ends 15:24 Tape switches and goes silent - Questions from audience 19:50 Sound goes in and out until the end of the clip 26:01 Announcement by the young people socialist movement 28:10 Thomas resumes speaking 30:52 Thomas ends","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Macky Auditorium","Thomas, Norman","Speaker","","","","","","","","","","","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1960-03-30","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 7, Tape 60-2P","Sound","Audio/Original recording","MPEG Audio","audio/mp3","11:00:00-07:00","0:30:52","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","http://cudl.colorado.edu/luna/servlet/s/71f6gu","CWA/Archives, University of Colorado at Boulder","NLB","","","489247","455","cwa_60-2P.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~489247~129501"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/fk840k3452dd","cwa_64-50.mp3","CWA/Archives, University of Colorado at Boulder","Cold War Rechauffe","Program","Anti-Polydebipolarization","United States--Foreign relations--Soviet Union","http://id.loc.gov/authorities/subjects/sh85140115","Soviet Union--Foreign relations--United States","http://id.loc.gov/authorities/subjects/sh85125763","Cold War (1945-1989)","http://id.worldcat.org/fast/1754978","","","","","","","","","","","Calvin Dietrich explains why a nation-state is infeasible and lists some indirect benefits of the Cold War. James Avery Joyce states that the mass media must become more objective and that the Cold War cannot be solved with military action. J. Richard Goldstein argues that communications between nations must be improved and that the Cold War stemmed from competition between the U.S. and Russia. J. P. Morray believes that the Cold War began as a problem within the two nations. Fred Warner Neal discusses the Soviet position on the Cold War and the misunderstandings between the two nations.","Program","00:00:02 Brian Mitchell begins 00:00:37 Mitchell ends 00:00:38 Calvin Dietrich begins 00:10:44 Dietrich ends 00:11:10 James Avery Joyce begins 00:25:31 Joyce ends 00:25:46 J. Richard Goldstein begins 00:33:10 Goldstein ends 00:33:20 J.P. Morray begins 00:42:10 Morray ends 00:42:23 Fred Warner Neal begins 00:52:08 Neal ends 00:52:17 Discussion among the panelists begins 01:19:01 Discussion among the panelists ends 01:19:02 Questions from the audience begin 01:38:06 End of tape","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Macky Auditorium","Neal, Fred Warner","Panelist","","","","","Dietrich, Calvin","Panelist","Morray, J. P. (Joseph P.), 1916-","Panelist","Joyce, James Avery","Panelist","Goldstein, J. Richard","Panelist","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1964-04-17","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 29, Tape 64-50","Sound","Audio/Original recording","MPEG Audio","audio/mp3","14:10:00-07:00","1:38:06","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","JZ","CWA_64-50 (audio file mislabeled as CWA_64-52)","","489373","455","cwa_64-52.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~489373~129519"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/4t6t8v07r849","cwa_87-120.mp3","CWA/Archives, University of Colorado at Boulder","College Athletics: Whither and Why?","Program","Series XVIII: Education","College sports","http://id.worldcat.org/fast/867925","Professionalism in sports","http://id.worldcat.org/fast/1078549","","","","","","","","","","","","","Moderated by Dennis Van Gerven. This panel discusses corruption in college athletics, particularly the practice of paying athletic recruits and passing illiterate athletes. Molly Ivins recounts scandals within Texas college athletics, the role of authorities in aiding the corruption of the system, and argues against paying college athletes. Robert Casper Brictson explores discrepancies in colleges regarding how they approach the athletic budget and lower academic standards for college athletes. Shepherd Brooks introduces the â€˜Plantation Systemâ€™ in Georgia; illiterate athletes are allowed to graduate college but are left with no life skills and unable to survive in the workforce. George Armelagos discusses the emergence of big business athletics and maintains that the new focus on money and corruption has ruined the spirit of the game. Clay Spontaine shares his own experience as a high school and college football player, and emphasizes the danger of the infantile pageantry that is present in many aspects of American society. Audience questions cover drugs, race, capitalism, and physical education.","Program","00:00:00 Dennis Van Gerven begins -- 00:01:14 Van Gerven ends -- 00:01:15 Molly Ivins begins -- 00:16:46 Ivins ends -- 00:16:50 Robert Casper Brictson begins -- 00:27:15 Brictson ends -- 00:27:30 Shepherd Brooks begins -- 00:34:33 Brooks ends -- 00:34:37 George Armelagos begins -- 00:37:59 Armelagos ends -- 00:38:00 Clay Spontaine begins -- 00:50:44 Spontaine ends -- 00:50:58 Questions from the audience begin -- 01:45:29 Questions from the audience end -- 01:45:46 End of tape.","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","University Memorial Center 157","Ivins, Molly","Panelist","","","","","Armelagos, George J.","Panelist","Brooks, Shepherd","Panelist","Brictson, Robert C.","Panelist","Spontaine, Clay","Panelist","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1987-04-09","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 240, Tape 87-120","Sound","Audio/Original recording","MPEG Audio","audio/mp3","14:00:00-07:00","1:45:46","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","","","","539288","455","cwa_87-120.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~539288~142553"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/6j7c2k75c3vv","cwa_90-16.mp3","CWA/Archives, University of Colorado at Boulder","Colombia","Program","Series XVIII: Places","Colombia","http://id.worldcat.org/fast/1205916","Cocaine industry","http://id.worldcat.org/fast/866018","Latin America","http://id.worldcat.org/fast/1245945","Politics and government","http://id.worldcat.org/fast/1919741","","","","","","","","","Moderated by Raymond L. Williams; 00:31 Moderator, Raymond Williams introduces the panel. Williams mentions that panelist, Monica De Greiff could not make it to the panel. 03:35 Kenneth Bleakley begins his discussion about Colombia. He talks about the rivalries and terrorism in the country but mentions that Colombia has a remarkable resilience; 05:00 Bleakley talks about the leadership and peace that Colombia exhibits; Bleakley talks about terrorist movements; 09:48 Bleakley talks about United States foreign policy in Latin America; 12:30 Williams introduces panelist James P. Murphy; 13:29 Murphy begins his discussion. He talks about a time when many of the countries in Latin America were run by the military and oligarchs and the civil wars that would occur; 15:20 Murphy talks about the typical Colombian politician. He also talks about Colombian narcotics in South America and how the country fuels the cocaine problem in the United States; 17:20 Murphy asks â€œwhat can Colombia do?â€ in regards to the narcotics problem. He first talks about prohibition; 19:13 Murphy talks about the economics of Colombia and how narcotics play a role in generating money; 21:09 Williams thanks the speakers and talks a little bit about Colombia himself before he moves to the audience for questions. He talks about how he has visited Colombia for the last fifteen years; 23:06 Williams mentions some background facts about Colombia. For example, he talks about flower exportation, the first national airlines established, and coffee and oil exportation; 31:50 Williams talks about the new president that will be elected in about a month. He talks about the different candidates; 35:50 First audience member asks if Colombians see cocaine trafficking as a problem themselves since the exportation seems to generate so much money for the country; 38:19 Second audience member asks â€œhow big of a percentage does the cocaine economy contribute to Colombiaâ€™s GDP overall?â€; 39:18 [Bleakley] makes a comment about the cocaine trade in the 1970s; 43:25 Third audience member asks how popular the extradition of people is in Colombia; 48:20 Fourth audience member asks a question related to extradition; 54:56 Unidentified person interjects and talks about the topic of cartels and extradition; 56:00 Williams thanks the panel and the audience applauds. 58:00 Unidentified people [possibly the panelists] continue a side conversation about the exports and the economy in Latin America; 01:00:00 Side conversation continues as people leave the room; 01:07:00 People leave the room and the recording is silent even though recording continues.","Program","","","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Memorial East Ballroom","Bleakley, Kenneth","Panelist","","","","","Murphy, James P.","Panelist","[De Greiff, Monica]","Panelist","","","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1990-04-09","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","","Sound","Audio/Original recording","MPEG Audio","audio/mp3","","1:56:09","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","","","","538981","468","90-16.output.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~538981~133267"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/994h6p8034ww","cwa_80-103.mp3","CWA/Archives, University of Colorado at Boulder","Columnists","Program","Series XXIV: The Literary Arts","Journalists--United States--Biography","http://id.loc.gov/authorities/subjects/sh2008106101","Royko, Mike, 1932-1997","http://id.worldcat.org/fast/91513","Greene, Bob","http://id.worldcat.org/fast/10138","Newspapers--Sections, columns, etc.","http://id.worldcat.org/fast/1037158","","","","","","","","","Moderated by Kenny Weisburg. Olga Carlyle talks about some specific columnists: Herb Caen, Kevin Starr, and Russell Baker. Roger Ebert gives a short biography of Mike Royko and Bob Green. Peter S. Greenberg further elaborates on Royko, Green, and Breslin, discusses other well-known columnists, and examines whether reporters could be considered columnists. Eric Lax describes his experience as a columnist. Kenny Weisburg tells an anecdote about Green in Boulder.","Program","00:00:15 Kenny Weisburg begins 00:02:05 Weisburg ends 00:02:09 Olga Carlyle begins 00:11:27 Carlyle ends 00:11:30 Roger Ebert begins 00:25:35 Ebert ends 00:25:42 Peter S. Greenberg begins 00:34:16 Greenberg ends 00:34:23 Eric Lax begins 00:38:54 Lax ends 00:39:04 Kenny Weisburg begins 00:40:18 Weisburg ends 00:40:32 Questions from the audience begin 01:15:33 Questions from the audience end 01:17:00 End of tape","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Old Main Chapel","Ebert, Roger","Panelist","","","","","Lax, Eric","Panelist","Davis, Deborah","Panelist","Greenberg, Peter S.","Panelist","Carlyle, Olga","Panelist","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1980-04-11","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 167, Tape 80-103","Sound","Audio/Original recording","MPEG Audio","audio/mp3","14:00:00-07:00","1:17:00","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","http://cudl.colorado.edu/luna/servlet/s/70fm13","CWA/Archives, University of Colorado at Boulder","sh","","","538756","468","80-103.output.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~538756~133241"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/8p1c4r26r7rs","cwa_70-21.mp3","CWA/Archives, University of Colorado at Boulder","Communitarianism: Group marriage","Program","Series XII: Social Organization","Counterculture","http://id.worldcat.org/fast/881315","Group marriage--United States","local","Families--United States","http://id.loc.gov/authorities/subjects/sh85047032","","","","","","","","","","","Lord Byron and Lady Samantha discuss the formation, lifestyle, and day to day activities of The Family. The Family is a group of 40 who live in Taos, NM in a communal style and practice group marriage. Chairman Robert A. Skotheim presiding.","Program","00:00 - 2:08 Open Mic 2:08 Introduction by Moderator 5:19 Lord Byron speaks 53:35 Panel adjourns","Segment Sequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Memorial Forum","Baker, Russell","Panelist","","","","","Hoffmann, Inge Schneier","Panelist","Lady Samantha","Panelist","Lord Byron, aka Lord Sean","Panelist","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1970-03-31","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 78, tape 70-21","Sound","Audio/Original recording","MPEG Audio","audio/mp3","14:10:00-07:00","53:35:00","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","http://cudl.colorado.edu/luna/servlet/s/mxv51a","CWA/Archives, University of Colorado at Boulder","","","","355914","455","cwa_70-21.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~355914~125055"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/f7580000z41b","cwa_90-65.mp3","CWA/Archives, University of Colorado at Boulder","Congress versus White House","Program","Series XXXII: Governing the USA","United States--Politics and government--20th century","http://id.loc.gov/authorities/subjects/sh85140455","Separation of powers--United States","http://id.loc.gov/authorities/subjects/sh2008111528","Legislative bodies--United States","http://id.loc.gov/authorities/subjects/sh85075825","Presidents--United States","http://id.loc.gov/authorities/subjects/sh85106465","","","","","","","","","Moderated by Mark Constancio. The panel discusses the adversarial relationship between the legislative and executive branches in the United States. Bruce Sumner contextualizes the Social Security debate in Congress by explaining congressional budgets. Harriet Barlow argues that neither the executive branch nor the legislative branch is serving the American people effectively. Douglas Bennet attributes this failure to a lack of direction. Molly Ivins compares Ronald Reagan and George Bush to illustrate how American presidents work with the legislative branch and hurt the American people. Audience questions focus on campaign finance reform and general elections.","Program","00:00:42 Panelists introduced -- 00:05:01 Bruce Sumner begins -- 00:17:48 Sumner ends -- 00:18:03 Harriet Barlow begins -- 00:25:30 Barlow ends -- 00:25:40 Douglas Bennet begins -- 00:32:58 Douglas Bennet ends -- 00:33:12 Molly Ivins begins -- 00:48:54 Molly Ivins ends -- 00:50:31 Audience questions begin -- 01:52:39 Audience questions end.","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","University Memorial Center Glenn Miller Ballroom","Ivins, Molly","Panelist","","","","","Bennet, Douglas J.","Panelist","Barlow, Harriet","Panelist","Ramsey, Nancy","Panelist","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1990-04-11","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 253, Tape 90-65","Sound","Audio/Original recording","MPEG Audio","audio/mp3","16:00:00-07:00","1:52:39","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","","CWA/Archives, University of Colorado at Boulder","","","","539299","455","cwa_90-65.mp3","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~539299~142542"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/f25c6p2371xm","cwa_67-75.mp3","CWA/Archives, University of Colorado at Boulder","Conscientious Objection","Program","Subterranea","Military service, Voluntary","http://id.loc.gov/authorities/subjects/sh85085289","Armed Forces","http://id.worldcat.org/fast/814586","Conscientious objection","http://id.worldcat.org/fast/875427","","","","","","","","","","","The speakers here discuss what it means to be a conscientiousness objector in regards to war. The first speaker defines it as one who refuses to be in allegiance with military service. However this person can and often will find an alternative civilian manner in which to make up for this refusal of participation in the service. The reasons for refusal could be due to religious training or beliefs, which are strong enough to place a sense of responsibility upon the person to not enter the armed forces. The choice deals with what the majority believes on war versus moral imperatives.","Program","@ 00:03 host introduces panel @ 4:30 Tatum begins @26:17 Tatum ends / Butcher begins @32:39 Butcher ends / Kaufman begins @43:58 Kaufman ends / panel discussion begins @1:12:18 tape ends","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","University Memorial Center Ballroom","Butcher, Charles","Panelist","","","","","Tatum, Arlo","Panelist","Kaufman, Arnold","Panelist","","","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1967-04-13","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 54, Tape 67-75","Sound","Audio/Original recording","MPEG Audio","audio/mp3","16:10:00-07:00","1:12:18","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","http://cudl.colorado.edu/luna/servlet/s/66r57x","CWA/Archives, University of Colorado at Boulder","","","","473019","455","cwa_67-75.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~473019~128557"
"Conference On World Affairs Archives","","","https://ark.colorado.edu/ark:/47540/p26d5z88s921","cwa_64-12.mp3","CWA/Archives, University of Colorado at Boulder","Containment","Program","Series XI: Bi-Polarization","International relations","http://id.worldcat.org/fast/977053","Cold War (1945-1989)--Political aspects--United States","local","Communist countries--Relations--United States","local","","","","","","","","","","","Moderated by Omer C. Stewart. J.P. Morray outlines the history of containment. Calvin Dietrich argues for containment and refutes the basic principles of communism. Joseph W. Angell Jr. gives an alternative account of the history of containment and explores the consequences of containment. Noel Parrish states that the U.S. government has supported leaders they believed would not ""brutalize"" their nation's people, but these leaders have often turned against the U.S. Thus, U.S. intervention and containment are necessary.","Program","00:00:03 Omer C. Stewart begins 00:04:35 Stewart ends 00:04:36 J.P. Morray begins 00:16:26 Morray ends 00:16:29 Calvin Dietrich begins 00:30:30 Dietrich ends 00:30:36 Angell begins 00:44:07 Angell ends 00:44:11 Noel Parrish begins 00:53:44 Parrish ends 00:53:46 Questions from the panelists begin 01:07:54 Questions from the panelists ends 01:07:55 Questions from the audience begin 01:40:18 End of tape","SegmentSequence","Panel discussions","http://id.loc.gov/authorities/genreForms/gf2015026010","","Macky Auditorium","Parrish, Noel Francis","Panelist","","","","","Dietrich, Calvin","Panelist","Angell, Joseph W., Jr.","Panelist","Morray, J.P.","Panelist","","","","","","","","","","","CWA/Archives, University of Colorado at Boulder","Publisher","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/","1964-04-14","","","","","","","","","","","","","1/4 inch audio cassette","audio/mpeg","Box 27, Tape 64-12","Sound","Audio/Original recording","MPEG Audio","audio/mp3","14:10:00-07:00","1:40:18","128 kbps","16 bits","44.1 kHz","1 audio track","dual-channel mono","English","http://cudl.colorado.edu/luna/servlet/s/gdn33k","CWA/Archives, University of Colorado at Boulder","NLB","","","489338","455","cwa_64-12.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~57~57~489338~129514"
